"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
324,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1550-acceptability=0","While the boys criticize the documentaries, the senators will return to any guests.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1550-acceptability=0","While the boys criticize the documentaries, the senators will return to any guests.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=743-acceptability=1","If the child arrives at the college campuses, the driver will also explore the public parks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=0-paradigm=139-acceptability=1","The teachers have clearly worked with the popular doctor that the pedestrian had praised."
325,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5447-acceptability=1","No pedestrians would think that any glasses resemble the car.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1709-acceptability=0","While the dancer approaches any drivers, the senator will exit the hospitals.","experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=1167-acceptability=0","Any students visited the cheap mall that brochures have discussed.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=302-acceptability=1","A waitress had not clearly imagined that a shirt should resemble the museum."
326,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1709-acceptability=0","While the dancer approaches any drivers, the senator will exit the hospitals.","experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=1167-acceptability=0","Any students visited the cheap mall that brochures have discussed.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=302-acceptability=1","A waitress had not clearly imagined that a shirt should resemble the museum.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5447-acceptability=1","No pedestrians would think that any glasses resemble the car."
327,"experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=1167-acceptability=0","Any students visited the cheap mall that brochures have discussed.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5447-acceptability=1","No pedestrians would think that any glasses resemble the car.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1709-acceptability=0","While the dancer approaches any drivers, the senator will exit the hospitals.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=0-npi_present=1-paradigm=1167-acceptability=0","Any students visited the cheap mall that brochures have discussed."
328,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=302-acceptability=1","A waitress had not clearly imagined that a shirt should resemble the museum.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=302-acceptability=1","A waitress had not clearly imagined that a shirt should resemble the museum.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5447-acceptability=1","No pedestrians would think that any glasses resemble the car.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1709-acceptability=0","While the dancer approaches any drivers, the senator will exit the hospitals."
329,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=723-acceptability=0","Some girl should ever think that the gloves were shrinking.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1933-acceptability=0","If the senators drive to the malls, the dancer will drop by any restaurants.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1561-acceptability=1","Those doctors say that the actresses talked about the grocery stores.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=1-paradigm=284-acceptability=0","The patients ever explained that an actor scarcely did clean the rugs."
330,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1933-acceptability=0","If the senators drive to the malls, the dancer will drop by any restaurants.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1561-acceptability=1","Those doctors say that the actresses talked about the grocery stores.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=1-paradigm=284-acceptability=0","The patients ever explained that an actor scarcely did clean the rugs.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=723-acceptability=0","Some girl should ever think that the gloves were shrinking."
331,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1561-acceptability=1","Those doctors say that the actresses talked about the grocery stores.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=723-acceptability=0","Some girl should ever think that the gloves were shrinking.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1933-acceptability=0","If the senators drive to the malls, the dancer will drop by any restaurants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1561-acceptability=1","Those doctors say that the actresses talked about the grocery stores."
332,"experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=1-paradigm=284-acceptability=0","The patients ever explained that an actor scarcely did clean the rugs.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=1-paradigm=284-acceptability=0","The patients ever explained that an actor scarcely did clean the rugs.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=723-acceptability=0","Some girl should ever think that the gloves were shrinking.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1933-acceptability=0","If the senators drive to the malls, the dancer will drop by any restaurants."
333,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=530-acceptability=0","A child would really ever say that the student is touring the high school.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=5563-acceptability=0","Some actresses had explained that any customers are surrendering.","experiment=NPI-env=superlative-npi=any-crucial_item=biggest-licensor=1-scope=0-npi_present=0-paradigm=1633-acceptability=1","The forks resemble the biggest restaurants that senators have criticized.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5060-acceptability=0","Any actresses do think that these commentaries had really won."
334,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=5563-acceptability=0","Some actresses had explained that any customers are surrendering.","experiment=NPI-env=superlative-npi=any-crucial_item=biggest-licensor=1-scope=0-npi_present=0-paradigm=1633-acceptability=1","The forks resemble the biggest restaurants that senators have criticized.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5060-acceptability=0","Any actresses do think that these commentaries had really won.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=530-acceptability=0","A child would really ever say that the student is touring the high school."
335,"experiment=NPI-env=superlative-npi=any-crucial_item=biggest-licensor=1-scope=0-npi_present=0-paradigm=1633-acceptability=1","The forks resemble the biggest restaurants that senators have criticized.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=530-acceptability=0","A child would really ever say that the student is touring the high school.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=5563-acceptability=0","Some actresses had explained that any customers are surrendering.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=biggest-licensor=1-scope=0-npi_present=0-paradigm=1633-acceptability=1","The forks resemble the biggest restaurants that senators have criticized."
336,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5060-acceptability=0","Any actresses do think that these commentaries had really won.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5060-acceptability=0","Any actresses do think that these commentaries had really won.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=530-acceptability=0","A child would really ever say that the student is touring the high school.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=5563-acceptability=0","Some actresses had explained that any customers are surrendering."
